,Title,Year,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %
0,Avengers: Endgame,2019,2797800564,858373000,30.7,1939427564,69.3
1,Avatar,2009,2790439092,760507625,27.2,2029931467,72.8
2,Titanic,1997,2195170133,659363944,30.0,1535806189,70.0
3,Star Wars: Episode VII - The Force Awakens,2015,2068454133,936662225,45.3,1131791908,54.7
4,Avengers: Infinity War,2018,2048359754,678815482,33.1,1369544272,66.9
5,Jurassic World,2015,1670401444,652270625,39.0,1018130819,61.0
6,The Lion King,2019,1657138876,543638043,32.8,1113500833,67.2
7,The Avengers,2012,1518815515,623357910,41.0,895457605,59.0
8,Furious 7,2015,1515253062,353007020,23.3,1162246042,76.7
9,Frozen II,2019,1450026933,477373578,32.9,972653355,67.1
10,Avengers: Age of Ultron,2015,1402809540,459005868,32.7,943803672,67.3
11,Black Panther,2018,1347462384,700426566,52.0,647035818,48.0
12,Harry Potter and the Deathly Hallows: Part 2,2011,1342222791,381409310,28.4,960813481,71.6
13,Star Wars: Episode VIII - The Last Jedi,2017,1332697499,620181382,46.5,712516117,53.5
14,Jurassic World: Fallen Kingdom,2018,1310464680,417719760,31.9,892744920,68.1
15,Frozen,2013,1280803377,400738009,31.3,880065368,68.7
16,Beauty and the Beast,2017,1264064386,504481165,39.9,759583221,60.1
17,Incredibles 2,2018,1242805359,608581744,49.0,634223615,51.0
18,The Fate of the Furious,2017,1236005118,226008385,18.3,1009996733,81.7
19,Iron Man 3,2013,1214811252,409013994,33.7,805797258,66.3
20,Minions,2015,1159444662,336045770,29.0,823398892,71.0
21,Captain America: Civil War,2016,1153332120,408084349,35.4,745247771,64.6
22,Aquaman,2018,1148485886,335061807,29.2,813424079,70.8
23,The Lord of the Rings: The Return of the King,2003,1142456987,377845905,33.1,764611082,66.9
24,Spider-Man: Far from Home,2019,1131927996,390532085,34.5,741395911,65.5
25,Captain Marvel,2019,1128276090,426829839,37.8,701446251,62.2
26,Transformers: Dark of the Moon,2011,1123794079,352390543,31.4,771403536,68.6
27,Skyfall,2012,1108561013,304360277,27.5,804200736,72.5
28,Transformers: Age of Extinction,2014,1104054072,245439076,22.2,858614996,77.8
29,The Dark Knight Rises,2012,1081141368,448139099,41.4,633002269,58.6
30,Joker,2019,1074251311,335451311,31.2,738800000,68.8
31,Star Wars: Episode IX - The Rise of Skywalker,2019,1074144248,515202542,48.0,558941706,52.0
