,Title,Year,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %
0,Avengers: Endgame,2019,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%
1,Avatar,2009,"$2,790,439,092","$760,507,625",27.2%,"$2,029,931,467",72.8%
2,Titanic,1997,"$2,195,170,133","$659,363,944",30%,"$1,535,806,189",70%
3,Star Wars: Episode VII - The Force Awakens,2015,"$2,068,454,133","$936,662,225",45.3%,"$1,131,791,908",54.7%
4,Avengers: Infinity War,2018,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%
5,Jurassic World,2015,"$1,670,401,444","$652,270,625",39%,"$1,018,130,819",61%
6,The Lion King,2019,"$1,657,138,876","$543,638,043",32.8%,"$1,113,500,833",67.2%
7,The Avengers,2012,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%
8,Furious 7,2015,"$1,515,253,062","$353,007,020",23.3%,"$1,162,246,042",76.7%
9,Frozen II,2019,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%
10,Avengers: Age of Ultron,2015,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%
11,Black Panther,2018,"$1,347,462,384","$700,426,566",52%,"$647,035,818",48%
12,Harry Potter and the Deathly Hallows: Part 2,2011,"$1,342,222,791","$381,409,310",28.4%,"$960,813,481",71.6%
13,Star Wars: Episode VIII - The Last Jedi,2017,"$1,332,697,499","$620,181,382",46.5%,"$712,516,117",53.5%
14,Jurassic World: Fallen Kingdom,2018,"$1,310,464,680","$417,719,760",31.9%,"$892,744,920",68.1%
15,Frozen,2013,"$1,280,803,377","$400,738,009",31.3%,"$880,065,368",68.7%
16,Beauty and the Beast,2017,"$1,264,064,386","$504,481,165",39.9%,"$759,583,221",60.1%
17,Incredibles 2,2018,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%
18,The Fate of the Furious,2017,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%
19,Iron Man 3,2013,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%
20,Minions,2015,"$1,159,444,662","$336,045,770",29%,"$823,398,892",71%
21,Captain America: Civil War,2016,"$1,153,332,120","$408,084,349",35.4%,"$745,247,771",64.6%
22,Aquaman,2018,"$1,148,485,886","$335,061,807",29.2%,"$813,424,079",70.8%
23,The Lord of the Rings: The Return of the King,2003,"$1,142,456,987","$377,845,905",33.1%,"$764,611,082",66.9%
